Chapter	ID	Title	AuthorList	Description
16	[I09]	Intel 64 and IA-32 Architectures Software Developer’s Manuals	Intel. 2009. Available: http://www.intel.com/products/processor/manuals.	Try reading about segmentation in here (Chapter 3 in Volume 3a); it’ll hurt your head, at least a little bit.
16	[CV65]	Introduction and Overview of the Multics System	F. J. Corbato, V. A. Vyssotsky. 	Fall Joint Computer Conference, 1965. One of ﬁve papers presented on Multics at the Fall Joint Computer Conference; oh to be a ﬂy on the wall in that room that day!
16	[H61]	Program Organization and Record Keeping for Dynamic Storage	A. W. Holt. Communications of the ACM, Volume 4:10, October 1961.	An incredibly early and difﬁcult to read paper about segmentation and some of its uses.
16	[K68]	The Art of Computer Programming: Volume I	Donald Knuth. Addison-Wesley, 1968.	Knuth is famous not only for his early books on the Art of Computer Programming but for his typesetting system TeX which is still a powerhouse typesetting tool used by professionals today, and indeed to typeset this very book. His tomes on algorithms are a great early reference to many of the algorithms that underly computing systems today.
16	[LL82]	Virtual Memory Management in the VAX/VMS Operating System	Henry M. Levy, Peter H. Lipman. IEEE Computer, Volume 15:3, March 1982.	A classic memory management system, with lots of common sense in its design. We’ll study it in more detail in a later chapter.
16	[DD68]	Virtual Memory, Processes, and Sharing in Multics	Robert C. Daley and Jack B. Dennis. Communications of the ACM, Volume 11:5, May 1968.	An early paper on how to perform dynamic linking in Multics, which was way ahead of its time. Dynamic linking ﬁnally found its way back into systems about 20 years later, as the large X-windows libraries demanded it. Some say that these large X11 libraries were MIT’s revenge for removing support for dynamic linking in early versions of U NIX!
17	[K65]	A Fast Storage Allocator	Kenneth C. Knowlton. Communications of the ACM, Volume 8:10, October 1965.	The common reference for buddy allocation. Random strange fact: Knuth gives credit for the idea not to Knowlton but to Harry Markowitz, a Nobel-prize winning economist. Another strange fact: Knuth communicates all of his emails via a secretary; he doesn’t send email himself, rather he tells his secretary what email to send and then the secretary does the work of emailing. Last Knuth fact: he created TeX, the tool used to typeset this book. It is an amazing piece of software 4.
17	[E06]	A Scalable Concurrent malloc(3) Implementation for FreeBSD	Jason Evans. April, 2006. http://people.freebsd.org/~jasone/jemalloc/bsdcan2006/jemalloc.pdf.	A detailed look at how to build a real modern allocator for use in multiprocessors. The "jemalloc" allocator is in widespread use today, within FreeBSD, NetBSD, Mozilla Firefox, and within Facebook.
17	[W+95]	Dynamic Storage Allocation: A Survey and Critical Review	Paul R. Wilson, Mark S. Johnstone, Michael Neely, David Boles. International Workshop on Memory Management, Scotland, UK, September 1995.	An excellent and far-reaching survey of many facets of memory allocation. Far too much detail to go into in this tiny chapter!
17	[B+00]	Hoard: A Scalable Memory Allocator for Multithreaded Applications	Emery D. Berger, Kathryn S. McKinley, Robert D. Blumofe, Paul R. Wilson. ASPLOS-IX, November 2000.	Berger and company’s excellent allocator for multiprocessor systems. Beyond just being a fun paper, also used in practice!
17	[B94]	The Slab Allocator: An Object-Caching Kernel Memory Allocator	Jeff Bonwick. USENIX ’94.	A cool paper about how to build an allocator for an operating system kernel, and a great example of how to specialize for particular common object sizes.
17	[S15]	Understanding glibc malloc	Sploitfun. February, 2015. sploitfun.wordpress.com/ 2015/02/10/understanding-glibc-malloc/.	A deep dive into how glibc malloc works. Amazingly detailed and a very cool read.
18	[I09]	Intel 64 and IA-32 Architectures Software Developer’s Manuals” Intel, 2009. Available: http://www.intel.com/products/processor/manuals.	In particular, pay attention to Volume 3A: System Programming Guide Part 1” and Volume 3B: System Programming Guide Part 2”.	
18	[KE+62]	One-level Storage System	T. Kilburn, D.B.G. Edwards, M.J. Lanigan, F.H. Sumner. IRE Trans. EC-11, 2, 1962. Reprinted in Bell and Newell, Computer Structures: Readings and Examples”. McGraw-Hill, New York, 1971.	The Atlas pioneered the idea of dividing memory into ﬁxed-sized pages and in many senses was an early form of the memory-management ideas we see in modern computer systems.
18	[L78]	The Manchester Mark I and Atlas: A Historical Perspective	S. H. Lavington. Communications of the ACM, Volume 21:1, January 1978.	This paper is a great retrospective of some of the history of the development of some important computer systems. As we sometimes forget in the US, many of these new ideas came from overseas.
19	[W03]	A Survey on the Interaction Between Caching, Translation and Protection	Adam Wiggins. University of New South Wales TR UNSW-CSE-TR-0321, August, 2003.	An excellent survey of how TLBs interact with other parts of the CPU pipeline, namely hardware caches.
19	[HP06]	Computer Architecture: A Quantitative Approach	John Hennessy and David Patterson. Morgan-Kaufmann, 2006.	A great book about computer architecture. We have a particular attachment to the classic ﬁrst edition.
19	[SB92]	CPU Performance Evaluation and Execution Time Prediction Using Narrow Spectrum Benchmarking	Rafael H. Saavedra-Barrera. EECS Department, University of California, Berkeley. Technical Report No. UCB/CSD-92-684, February 1992..	A great dissertation about how to predict execution time of applications by breaking them down into constituent pieces and knowing the cost of each piece. Probably the most interesting part that comes out of this work is the tool to measure details of the cache hierarchy (described in Chapter 5). Make sure to check out the wonderful diagrams therein.
19	[I09]	Intel 64 and IA-32 Architectures Software Developer’s Manuals	Intel, 2009. Available: http://www.intel.com/products/processor/manuals.	In particular, pay attention to Volume 3A: System Programming Guide” Part 1 and Volume 3B: System Programming Guide Part 2”.
19	[H93]	MIPS R4000 Microprocessor User’s Manual	Joe Heinrich. Prentice-Hall, June 1993. Available: http://cag.csail.mit.edu/raw/ . documents/R4400 Uman book Ed2.pdf	A manual, one that is surprisingly readable. Or is it?
19	[BC91]	Performance from Architecture: Comparing a RISC and a CISC with Similar Hardware Organization	D. Bhandarkar and Douglas W. Clark. Communications of the ACM, September 1991.	A great and fair comparison between RISC and CISC. The bottom line: on similar hardware, RISC was about a factor of three better in performance.
19	[PS81]	RISC-I: A Reduced Instruction Set VLSI Computer	D.A. Patterson and C.H. Sequin. ISCA ’81, Minneapolis, May 1981.	The paper that introduced the term RISC, and started the avalanche of research into simplifying computer chips for performance.
19	[CG68]	Shared-access Data Processing System	John F. Couleur, Edward L. Glaser. Patent 3412382, November 1968.	The patent that contains the idea for an associative memory to store address translations. The idea, according to Couleur, came in 1964.
19	[CP78]	The architecture of the IBM System/370	R.P. Case, A. Padegs. Communications of the ACM. 21:1, 73-96, January 1978.	Perhaps the ﬁrst paper to use the term translation lookaside buffer. The name arises from the historical name for a cache, which was a lookaside buffer as called by those developing the Atlas system at the University of Manchester; a cache of address translations thus became a translation lookaside buffer. Even though the term lookaside buffer fell out of favor, TLB seems to have stuck, for whatever reason.
19	[C95]	The Core of the Black Canyon Computer Corporation	John Couleur. IEEE Annals of History of Computing, 17:4, 1995.	In this fascinating historical note, Couleur talks about how he invented the TLB in 1964 while working for GE, and the fortuitous collaboration that thus ensued with the Project MAC folks at MIT.
19	[CM00]	The evolution of RISC technology at IBM	John Cocke, V. Markstein. IBM Journal of Research and Development, 44:1/2.	A summary of the ideas and work behind the IBM 801, which many consider the ﬁrst true RISC microprocessor.
19	[WG00]	The SPARC Architecture Manual: Version 9	David L. Weaver and Tom Germond. SPARC International, San Jose, California, September 2000. Available: www.sparc.org/ standards/SPARCV9.pdf.	Another manual. I bet you were hoping for a more fun citation to end this chapter.
20	[BOH10]	Computer Systems: A Programmer’s Perspective	Randal E. Bryant and David R. O’Hallaron. Addison-Wesley, 2010.	We have yet to ﬁnd a good ﬁrst reference to the multi-level page table. However, this great textbook by Bryant and O’Hallaron dives into the details of x86, which at least is an early system that used such structures. It’s also just a great book to have.
20	[M07]	Multics: History	Available: http://www.multicians.org/history.html. 	This amazing web site provides a huge amount of history on the Multics system, certainly one of the most inﬂuential systems in OS history. The quote from therein: Jack Dennis of MIT contributed inﬂuential architectural ideas to the beginning of Multics, especially the idea of combining paging and segmentation.” (from Section 1.2.1)
20	[N+02]	Practical, Transparent Operating System Support for Superpages	Juan Navarro, Sitaram Iyer, Peter Druschel, Alan Cox. OSDI ’02, Boston, Massachusetts, October 2002.	A nice paper showing all the details you have to get right to incorporate large pages, or superpages, into a modern OS. Not as easy as you might think, alas.
20	[M28]	Reese’s Peanut Butter Cups	Mars Candy Corporation. Published at stores near you. 	Apparently these ﬁne confections were invented in 1928 by Harry Burnett Reese, a former dairy farmer and shipping foreman for one Milton S. Hershey. At least, that is what it says on Wikipedia. If true, Hershey and Reese probably hate each other’s guts, as any two chocolate barons should.
20	[LL82]	Virtual Memory Management in the VAX/VMS Operating System	Hank Levy, P. Lipman. IEEE Computer, Vol. 15, No. 3, March 1982.	A terriﬁc paper about a real virtual memory manager in a classic operating system, VMS. So terriﬁc, in fact, that we’ll use it to review everything we’ve learned about virtual memory thus far a few chapters from now.
20	[JM98]	Virtual Memory: Issues of Implementation	Bruce Jacob, Trevor Mudge. IEEE Computer, June 1998.	An excellent survey of a number of different systems and their approach to virtualizing memory. Plenty of details on x86, PowerPC, MIPS, and other architectures.
21	[D97]	Before Memory Was Virtual	Peter Denning. In the Beginning: Recollections of Software Pioneers, Wiley, November 1997.	An excellent historical piece by one of the pioneers of virtual memory and working sets.
21	[G+95]	Idleness is not sloth	Richard Golding, Peter Bosch, Carl Staelin, Tim Sullivan, John Wilkes. USENIX ATC ’95, New Orleans, Louisiana.	A fun and easy-to-read discussion of how idle time can be better used in systems, with lots of good examples.
21	[CS94]	Take Our Word For it 	F. Corbato, R. Steinberg. www.takeourword.com/TOW146 (Page 4).	Richard Steinberg writes: Someone has asked me the origin of the word daemon as it applies to computing. Best I can tell based on my research, the word was ﬁrst used by people on your team at Project MAC using the IBM 7094 in 1963.” Professor Corbato replies: Our use of the word daemon was inspired by the Maxwell’s daemon of physics and thermodynamics (my background is in physics). Maxwell’s daemon was an imaginary agent which helped sort molecules of different speeds and worked tirelessly in the background. We fancifully began to use the word daemon to describe background processes which worked tirelessly to perform system chores.”
21	[LL82]	Virtual Memory Management in the VAX/VMS Operating System	Hank Levy, P. Lipman. IEEE Computer, Vol. 15, No. 3, March 1982.	Not the ﬁrst place where page clustering was used, but a clear and simple explanation of how such a mechanism works. We sure cite this paper a lot!
22	[C69]	A Paging Experiment with the Multics System	F.J. Corbato. Included in a Festschrift published in honor of Prof. P.M. Morse. MIT Press, Cambridge, MA, 1969.	The original (and hard to ﬁnd!) reference to the clock algorithm, though not the ﬁrst usage of a use bit. Thanks to H. Balakrishnan of MIT for digging up this paper for us.
22	[B66]	A Study of Replacement Algorithms for Virtual-Storage Computer	Laszlo A. Belady. IBM Systems Journal 5(2): 78-101, 1966.	The paper that introduces the simple way to compute the optimal behavior of a policy (the MIN algorithm).
22	[BNS69]	An Anomaly in Space-time Characteristics of Certain Programs Running in a Paging Machine	L. A. Belady, R. A. Nelson, G. S. Shedler. Communications of the ACM, 12:6, June 1969.	Introduction of the little sequence of memory references known as Belady’s Anomaly. How do Nelson and Shedler feel about this name, we wonder?
22	[CD85]	An Evaluation of Buffer Management Strategies for Relational Database Systems	Hong-Tai Chou, David J. DeWitt. VLDB ’85, Stockholm, Sweden, August 1985.	A famous database paper on the different buffering strategies you should use under a number of common database access patterns. The more general lesson: if you know something about a workload, you can tailor policies to do better than the general-purpose ones usually found in the OS.
22	[MM03]	ARC: A Self-Tuning, Low Overhead Replacement Cache	Nimrod Megiddo and Dharmendra S. Modha. FAST 2003, February 2003, San Jose, California.	An excellent modern paper about replacement algorithms, which includes a new policy, ARC, that is now used in some systems. Recognized in 2014 as a "Test of Time" award winner by the storage systems community at the FAST ’14 conference.
22	[H87]	Aspects of Cache Memory and Instruction Buffer Performance	Mark D. Hill. Ph.D. Dissertation, U.C. Berkeley, 1987.	Mark Hill, in his dissertation work, introduced the Three C’s, which later gained wide popularity with its inclusion in H&P [HP06]. The quote from therein: I have found it useful to partition misses ... into three components intuitively based on the cause of the misses (page 49).”
22	[EF78]	Cold-start vs. Warm-start Miss Ratios	Malcolm C. Easton, Ronald Fagin. Communications of the ACM, 21:10, October 1978.	A good discussion of cold- vs. warm-start misses.
22	[HP06]	Computer Architecture: A Quantitative Approach	John Hennessy and David Patterson. Morgan-Kaufmann, 2006. A marvelous book about computer architecture. Read it!	
22	[FP89]	Electrochemically Induced Nuclear Fusion of Deuterium	Martin Fleischmann, Stanley Pons. Journal of Electroanalytical Chemistry, Volume 26, Number 2, Part 1, April, 1989.	The famous paper that would have revolutionized the world in providing an easy way to generate nearly-inﬁnite power from jars of water with a little metal in them. Unfortunately, the results published (and widely publicized) by Pons and Fleischmann were impossible to reproduce, and thus these two well-meaning scientists were discredited (and certainly, mocked). The only guy really happy about this result was Marvin Hawkins, whose name was left off this paper even though he participated in the work, thus avoiding association with one of the biggest scientiﬁc goofs of the 20th century.
22	[M+70]	Evaluation Techniques for Storage Hierarchies	R. L. Mattson, J. Gecsei, D. R. Slutz, I. L. Traiger. IBM Systems Journal, Volume 9:2, 1970.	A paper that is mostly about how to simulate cache hierarchies efﬁciently; certainly a classic in that regard, as well for its excellent discussion of some of the properties of various replacement algorithms. Can you ﬁgure out why the stack property might be useful for simulating a lot of different-sized caches at once?
22	[KE+62]	One-level Storage System	T. Kilburn, D.B.G. Edwards, M.J. Lanigan, F.H. Sumner. IRE Trans. EC-11:2, 1962.	Although Atlas had a use bit, it only had a very small number of pages, and thus the scanning of the use bits in large memories was not a problem the authors solved.
22	[AD03]	Run-Time Adaptation in River	Remzi H. Arpaci-Dusseau. ACM TOCS, 21:1, February 2003.	A summary of one of the authors’ dissertation work on a system named River, where he learned that comparison against the ideal is an important technique for system designers.
22	[D70]	Virtual Memory	Peter J. Denning. Computing Surveys, Vol. 2, No. 3, September 1970.	Denning’s early and famous survey on virtual memory systems.
23	[JS94]	2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm	T. Johnson, D. Shasha. VLDB ’94, Santiago, Chile.	A simple but effective approach to building page replacement.
23	[M04]	Cloud Atlas	D. Mitchell. Random House, 2004.	It’s hard to pick a favorite book. There are too many! Each is great in its own unique way. But it’d be hard for these authors not to pick Cloud Atlas”, a fantastic, sprawling epic about the human condition, from where the the last quote of this chapter is lifted. If you are smart – and we think you are – you should stop reading obscure commentary in the references and instead read Cloud Atlas”; you’ll thank us later.
23	[BJ81]	Converting a Swap-Based System to do Paging in an Architecture Lacking Page-Reference Bits	O. Babaoglu, W. N. Joy. SOSP ’81, Paciﬁc Grove, California, December 1981.	How to exploit existing protection machinery to emulate reference bits, from a group at Berkeley working on their own version of UNIX: the Berkeley Systems Distribution (BSD). The group was inﬂuential in the development of virtual memory, ﬁle systems, and networking.
23	[B+13]	Efﬁcient Virtual Memory for Big Memory Servers	A. Basu, J. Gandhi, J. Chang, M. D. Hill, M. M. Swift. ISCA ’13, June 2013, Tel-Aviv, Israel.	A recent work showing that TLBs matter, consuming 10% of cycles for large-memory workloads. The solution: one massive segment to hold large data sets. We go backward, so that we can go forward!
23	[C93]	Inside Windows NT	H. Custer, D. Solomon. Microsoft Press, 1993.	The book about Windows NT that explains the system top to bottom, in more detail than you might like. But seriously, a pretty good book.
23	[G+17]	KASLR is Dead: Long Live KASLR	D. Gruss, M. Lipp, M. Schwarz, R. Fellner, C. Maurice, S. Mangard. Engineering Secure Software and Systems, 2017. Available: https://gruss.cc/files/kaiser.pdf	Excellent info on KASLR, KPTI, and beyond.
23	[S+04]	On the Effectiveness of Address-space Randomization	H. Shacham, M. Page, B. Pfaff, E. J. Goh, N. Modadugu, D. Boneh. CCS ’04, October 2004.	A description of the return-tolibc attack and its limits. Start reading, but be wary: the rabbit hole of systems security is deep...
23	[RL81]	Segmented FIFO Page Replacement	R. Turner, H. Levy. SIGMETRICS ’81, Las Vegas, Nevada, September 1981.	A short paper that shows for some workloads, segmented FIFO can approach the performance of LRU.
23	[BB+72]	TENEX, A Paged Time Sharing System for the PDP-10	D. G. Bobrow, J. D. Burchﬁel, D. L. Murphy, R. S. Tomlinson. CACM, Volume 15, March 1972.	An early time-sharing OS where a number of good ideas came from. Copy-on-write was just one of those; also an inspiration for other aspects of modern systems, including process management, virtual memory, and ﬁle systems.
23	[S07]	The Geometry of Innocent Flesh on the Bone: Return-into-libc without Function Calls (on the x86)	H. Shacham. CCS ’07, October 2007.	A generalization of return-to-libc. Dr. Beth Garner said in Basic Instinct, She’s crazy! She’s brilliant!” We might say the same about ROP.
23	[C03]	The Innovator’s Dilemma	Clayton M. Christenson. Harper Paperbacks, January 2003.	A fantastic book about the disk-drive industry and how new innovations disrupt existing ones. A good read for business majors and computer scientists alike. Provides insight on how large and successful companies completely fail.
23	[BC05]	Understanding the Linux Kernel	D. P. Bovet, M. Cesati. O’Reilly Media, November 2005.	One of the many books you can ﬁnd on Linux, which are out of date, but still worthwhile.
23	[G04]	Understanding the Linux Virtual Memory Manager	M. Gorman. Prentice Hall, 2004.	An in-depth look at Linux VM, but alas a little out of date.
23	[O16]	Virtual Memory and Linux	A. Ott. Embedded Linux Conference, April 2016. https://events.static.linuxfound.org/sites/events/ﬁles/slides/elc 2016 mem.pdf .	A useful set of slides which gives an overview of the Linux VM.
23	[LL82]	Virtual Memory Management in the VAX/VMS Operating System	H. Levy, P. Lipman. IEEE Computer, Volume 15:3, March 1982.	Read the original source of most of this material. Particularly important if you wish to go to graduate school, where all you do is read papers, work, read some more papers, work more, eventually write a paper, and then work some more.
26	[SR05]	Advanced Programming in the UNIX Environment	W. Richard Stevens and Stephen A. Rago. Addison-Wesley, 2005.	As we’ve said many times, buy this book, and read it, in little chunks, preferably before going to bed. This way, you will actually fall asleep more quickly; more importantly, you learn a little more about how to become a serious U NIX programmer.
26	[L+93]	Atomic Transactions	Nancy Lynch, Michael Merritt, William Weihl, Alan Fekete. Morgan Kaufmann, August 1993.	A nice text on some of the theory and practice of atomic transactions for distributed systems. Perhaps a bit formal for some, but lots of good material is found herein.
26	[D68]	Cooperating sequential processes	Edsger W. Dijkstra. 1968. Available at this site: http://www.cs.utexas.edu/users/EWD/ewd01xx/EWD123.PDF.	Dijkstra has an amazing number of his old papers, notes, and thoughts recorded (for posterity) on this website at the last place he worked, the University of Texas. Much of his foundational work, however, was done years earlier while he was at the Technische Hochshule of Eindhoven (THE), including this famous paper on "cooperating sequential processes”, which basically outlines all of the thinking that has to go into writing multi-threaded programs. Dijkstra discovered much of this while working on an operating system named after his school: the "THE" operating system (said "T", "H", "E", and not like the word "the”).
26	[D65]	Solution of a problem in concurrent programming control	E. W. Dijkstra. Communications of the ACM, 8(9):569, September 1965.	Pointed to as the ﬁrst paper of Dijkstra’s where he outlines the mutual exclusion problem and a solution. The solution, however, is not widely used; advanced hardware and OS support is needed, as we will see in the coming chapters.
26	[GR92]	Transaction Processing: Concepts and Techniques	Jim Gray and Andreas Reuter. Morgan Kaufmann, September 1992.	This book is the bible of transaction processing, written by one of the legends of the ﬁeld, Jim Gray. It is, for this reason, also considered Jim Gray’s brain dump”, in which he wrote down everything he knows about how database management systems work. Sadly, Gray passed away tragically a few years back, and many of us lost a friend and great mentor, including the co-authors of said book, who were lucky enough to interact with Gray during their graduate school years.
26	[NM92]	What Are Race Conditions? Some Issues and Formalizations	Robert H. B. Netzer and Barton P. Miller. ACM Letters on Programming Languages and Systems, Volume 1:1, March 1992.	An excellent discussion of the different types of races found in concurrent programs. In this chapter (and the next few), we focus on data races, but later we will broaden to discuss general races as well.
27	[X+10]	Ad Hoc Synchronization Considered Harmful	Weiwei Xiong, Soyeon Park, Jiaqi Zhang, Yuanyuan Zhou, Zhiqiang Ma. OSDI 2010, Vancouver, Canada.	This paper shows how seemingly simple synchronization code can lead to a surprising number of bugs. Use condition variables and do the signaling correctly!
27	[B89]	An Introduction to Programming with Threads	Andrew D. Birrell. DEC Technical Report, January, 1989. Available: https://birrell.org/andrew/papers/035-Threads.pdf	A classic but older introduction to threaded programming. Still a worthwhile read, and freely available.
27	[B97]	Programming with POSIX Threads	David R. Butenhof. Addison-Wesley, May 1997.	Another one of these books on threads.
27	[K+96]	Programming With Threads	Steve Kleiman, Devang Shah, Bart Smaalders. Prentice Hall, January 1996.	Probably one of the better books in this space. Get it at your local library. Or steal it from your mother. More seriously, just ask your mother for it – she’ll let you borrow it, don’t worry.
27	[B+96]	PThreads Programming: by A POSIX Standard for Better Multiprocessing.	Dick Buttlar, Jacqueline Farrell, Bradford Nichols. O’Reilly, September 1996	A reasonable book from the excellent, practical publishing house O’Reilly. Our bookshelves certainly contain a great deal of books from this company, including some excellent offerings on Perl, Python, and Javascript (particularly Crockford’s Javascript: The Good Parts”.)
28	[MS91]	Algorithms for Scalable Synchronization on Shared-Memory Multiprocessors	John M. Mellor-Crummey and M. L. Scott. ACM TOCS, Volume 9, Issue 1, February 1991.	An excellent and thorough survey on different locking algorithms. However, no operating systems support is used, just fancy hardware instructions.
28	[D68]	Cooperating sequential processes	Edsger W. Dijkstra. 1968. Available online here: http://www.cs.utexas.edu/users/EWD/ewd01xx/EWD123.PDF.	One of the early seminal papers. Discusses how Dijkstra posed the original concurrency problem, and Dekker’s solution.
28	[D+13]	Everything You Always Wanted to Know about Synchronization but Were Afraid to Ask	Tudor David, Rachid Guerraoui, Vasileios Trigonakis. SOSP ’13, Nemacolin Woodlands Resort, Pennsylvania, November 2013.	An excellent paper comparing many different ways to build locks using hardware primitives. Great to see how many ideas work on modern hardware.
28	[L09]	glibc 2.9 (include Linux pthreads implementation)	Many authors.. Available here: http://ftp.gnu.org/gnu/glibc. 	In particular, take a look at the nptl subdirectory where you will ﬁnd most of the pthread support in Linux today.
28	[S05]	Guide to porting from Solaris to Linux on x86	Ajay Sood, April 29, 2005. Available: http://www.ibm.com/developerworks/linux/library/l-solar/.	
28	[D91]	Just Win, Baby: Al Davis and His Raiders	Glenn Dickey. Harcourt, 1991.	The book about Al Davis and his famous quote. Or, we suppose, the book is more about Al Davis and the Raiders, and not so much the quote. To be clear: we are not recommending this book, we just needed a citation.
28	[W09]	Load-Link, Store-Conditional	Many authors.. en.wikipedia.org/wiki/LoadLink/Store-Conditional. 	Can you believe we referenced Wikipedia? But, we found the information there and it felt wrong not to. Further, it was useful, listing the instructions for the different architectures: ldl l/stl c and ldq l/stq c (Alpha), lwarx/stwcx (PowerPC), ll/sc (MIPS), and ldrex/strex (ARM). Actually Wikipedia is pretty amazing, so don’t be so harsh, OK?
28	[H93]	MIPS R4000 Microprocessor User’s Manual	Joe Heinrich. Prentice-Hall, June 1993. Available: http://cag.csail.mit.edu/raw/documents/R4400 Uman book Ed2.pdf.	The old MIPS user’s manual. Download it while it still exists.
28	[P81]	Myths About the Mutual Exclusion Problem	G.L. Peterson. Information Processing Letters, 12(3), pages 115–116, 1981.	Peterson’s algorithm introduced here.
28	[L81]	Observations on the Development of an Operating System	Hugh Lauer. SOSP ’81, Paciﬁc Grove, California, December 1981.	A must-read retrospective about the development of the Pilot OS, an early PC operating system. Fun and full of insights.
28	[S09]	OpenSolaris Thread Library	Sun.. Code: src.opensolaris.org/source/xref/ onnv/onnv-gate/usr/src/lib/libc/port/threads/synch.c. 	Pretty interesting, although who knows what will happen now that Oracle owns Sun. Thanks to Mike Swift for the pointer.
28	[M15]	OSSpinLock Is Unsafe	J. McCall. mjtsai.com/blog/2015/12/16/osspinlock -is-unsafe.	Calling OSSpinLock on a Mac is unsafe when using threads of different priorities – you might spin forever! So be careful, Mac fanatics, even your mighty system can be less than perfect...
28	[M82]	The Architecture of the Burroughs B5000: 20 Years Later and Still Ahead of the Times?	A. Mayer. 1982. Available: www.ajwm.net/amayer/papers/B5000.html.	It (RDLK) is an indivisible operation which reads from and writes into a memory location.” RDLK is thus testand-set! Dave Dahm created spin locks (“Buzz Locks”) and a two-phase lock called Dahm Locks.”
28	[WG00]	The SPARC Architecture Manual: Version 9	D. Weaver, T. Germond. SPARC International, 2000. http://www.sparc.org/standards/SPARCV9.pdf.	See developers. sun.com/solaris/articles/atomic sparc/ for more on atomics.
28	[H91]	Wait-free Synchronization	Maurice Herlihy. ACM TOPLAS, Volume 13: 1, January 1991.	A landmark paper introducing a different approach to building concurrent data structures. Because of the complexity involved, some of these ideas have been slow to gain acceptance in deployment.
28	[R97]	What Really Happened on Mars?	Glenn E. Reeves. research.microsoft.com/en-us/um/people/mbj/Mars Pathfinder/Authoritative Account.html. 	A description of priority inversion on Mars Pathﬁnder. Concurrent code correctness matters, especially in space!
29	[L+13]	A Study of Linux File System Evolution	Lanyue Lu, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau, Shan Lu. FAST ’13, San Jose, CA, February 2013.	Our paper that studies every patch to Linux ﬁle systems over nearly a decade. Lots of fun ﬁndings in there; read it to see! The work was painful to do though; the poor graduate student, Lanyue Lu, had to look through every single patch by hand in order to understand what they did.
29	[B+10]	An Analysis of Linux Scalability to Many Cores	Silas Boyd-Wickizer, Austin T. Clements, Yandong Mao, Aleksey Pesterev, M. Frans Kaashoek, Robert Morris, Nickolai Zeldovich . OSDI ’10, Vancouver, Canada, October 2010.	A great study of how Linux performs on multicore machines, as well as some simple solutions. Includes a neat sloppy counter to solve one form of the scalable counting problem.
29	[MS04]	Concurrent Data Structures	Mark Moir and Nir Shavit. In Handbook of Data Structures and Applications (Editors D. Metha and S.Sahni). Chapman and Hall/CRC Press, 2004. Available: www.cs.tau.ac.il/~shanir/concurrent-data-structures.pdf.	A short but relatively comprehensive reference on concurrent data structures. Though it is missing some of the latest works in the area (due to its age), it remains an incredibly useful reference.
29	[S+11]	Making the Common Case the Only Case with Anticipatory Memory Allocation	Swaminathan Sundararaman, Yupu Zhang, Sriram Subramanian, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau . FAST ’11, San Jose, CA, February 2011.	Our work on removing possibly-failing allocation calls from kernel code paths. By allocating all potentially needed memory before doing any work, we avoid failure deep down in the storage stack.
29	[MS98]	Nonblocking Algorithms and Preemption-safe Locking on by Multiprogrammed Shared-memory Multiprocessors.	M. Michael, M. Scott. Journal of Parallel and Distributed Computing, Vol. 51, No. 1, 1998	Professor Scott and his students have been at the forefront of concurrent algorithms and data structures for many years; check out his web page, numerous papers, or books to ﬁnd out more.
29	[BH73]	Operating System Principles	Per Brinch Hansen. Prentice-Hall, 1973. Available: http://portal.acm.org/citation.cfm?id=540365.	One of the ﬁrst books on operating systems; certainly ahead of its time. Introduced monitors as a concurrency primitive.
29	[MM00]	Solaris Internals: Core Kernel Architecture	Jim Mauro and Richard McDougall. Prentice Hall, October 2000.	The Solaris book. You should also read this, if you want to learn about something other than Linux.
29	[C06]	The Search For Fast, Scalable Counters	Jonathan Corbet. February 1, 2006. Available: https://lwn.net/Articles/170003.	LWN has many wonderful articles about the latest in Linux This article is a short description of scalable approximate counting; read it, and others, to learn more about the latest in Linux.
29	[BC05]	Understanding the Linux Kernel (Third Edition)	Daniel P. Bovet and Marco Cesati. O’Reilly Media, November 2005.	The classic book on the Linux kernel. You should read it.
30	[O49]	1984	George Orwell. Secker and Warburg, 1949.	A little heavy-handed, but of course a must read. That said, we kind of gave away the ending by quoting the last sentence. Sorry! And if the government is reading this, let us just say that we think that the government is "double plus good”. Hear that, our pals at the NSA?
30	[D68]	Cooperating sequential processes	Edsger W. Dijkstra. 1968. Available online here: http://www.cs.utexas.edu/users/EWD/ewd01xx/EWD123.PDF.	Another classic from Dijkstra; reading his early works on concurrency will teach you much of what you need to know.
30	[LR80]	Experience with Processes and Monitors in Mesa	B.W. Lampson, D.R. Redell. Communications of the ACM. 23:2, pages 105-117, February 1980.	A terriﬁc paper about how to actually implement signaling and condition variables in a real system, leading to the term "Mesa" semantics for what it mzshortns to be woken up; the older semantics, developed by Tony Hoare [H74], then became known as "Hoare" semantics, which is hard to say out loud in class with a straight face.
30	[D72]	Information Streams Sharing a Finite Buffer	E.W. Dijkstra. Information Processing Letters 1: 179180, 1972. Available: http://www.cs.utexas.edu/users/EWD/ewd03xx/EWD329.PDF	The famous paper that introduced the producer/consumer problem.
